board_code,board_name,board_type,category,subcategory,main_element,secondary_element,wood_score,fire_score,earth_score,metal_score,water_score,confidence,reason,paid_required,source,updated_at,need_review
BK0456,家用电器,industry,一级行业,家用电器,fire,earth,0,60,40,0,0,100,核心是生活场景中的功能释放，副属性是家庭承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1208,建筑材料,industry,一级行业,建筑材料,earth,metal,0,0,65,35,0,100,核心是空间建设的承载基础，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1209,建筑装饰,industry,一级行业,建筑装饰,earth,fire,0,40,60,0,0,100,核心是空间承接和居住场景转化，副属性是外观显化。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1035,美容护理,industry,一级行业,美容护理,fire,wood,40,60,0,0,0,100,核心是外在形象表达和显化，副属性是消费升级生长。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0437,煤炭,industry,一级行业,煤炭,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0433,农林牧渔,industry,一级行业,农林牧渔,wood,earth,70,0,30,0,0,100,核心是生命生长、供给和培育，副属性是土地承载与滋养稳定。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1211,汽车,industry,一级行业,汽车,wood,fire,60,40,0,0,0,100,核心是电动化、智能化升级带来的产业扩张，副属性是出行能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1212,轻工制造,industry,一级行业,轻工制造,earth,fire,0,45,55,0,0,100,核心是消费品承载和生产转化，副属性是商品显化。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1214,社会服务,industry,一级行业,社会服务,earth,water,0,0,60,0,40,100,核心是服务承接、调和和稳定供给，副属性是需求流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1213,商贸零售,industry,一级行业,商贸零售,water,fire,0,40,0,0,60,100,核心是商品、订单和渠道流动，副属性是消费显化和传播。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0438,食品饮料,industry,一级行业,食品饮料,earth,wood,40,0,60,0,0,100,核心是日常消费承载和滋养稳定，副属性是生命供给与生长。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0464,石油石化,industry,一级行业,石油石化,fire,water,0,60,0,0,40,100,核心是能源释放与化工转化，副属性是资源储藏和流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1215,通信,industry,一级行业,通信,fire,water,0,60,0,0,40,100,核心是信号释放、连接和显化，副属性是数据流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1283,银行,industry,一级行业,银行,earth,metal,0,0,70,30,0,100,核心是资金承载、信用稳定和风险承接，副属性是制度规则边界。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0478,有色金属,industry,一级行业,有色金属,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1216,医药生物,industry,一级行业,医药生物,wood,water,65,0,0,0,35,100,核心是生命修复、培育和健康生长，副属性是孕育、储藏和适应。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1217,综合,industry,一级行业,综合,earth,water,0,0,55,0,45,100,板块范围较综合，核心按承载调和处理，副属性按适应流动处理。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1036,半导体,industry,二级行业,半导体,fire,metal,0,65,0,35,0,100,核心是信息处理和算力显化，副属性是精密规则与制程边界。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1277,白酒Ⅱ,industry,二级行业,白酒Ⅱ,fire,earth,0,65,35,0,0,100,核心是品牌、社交和消费情绪显化，副属性是稳定消费承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0546,玻璃玻纤,industry,二级行业,玻璃玻纤,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1239,白色家电,industry,二级行业,白色家电,fire,earth,0,60,40,0,0,100,核心是生活场景中的功能释放，副属性是家庭承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0474,保险Ⅱ,industry,二级行业,保险Ⅱ,earth,metal,0,0,70,30,0,100,核心是风险承接、稳定补偿和资金沉淀，副属性是契约规则。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1265,包装印刷,industry,二级行业,包装印刷,earth,fire,0,45,55,0,0,100,核心是内容和商品承载，副属性是表达显化。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1218,出版,industry,二级行业,出版,fire,water,0,70,0,0,30,100,核心是表达、传播和注意力显化，副属性是内容流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1240,厨卫电器,industry,二级行业,厨卫电器,fire,earth,0,60,40,0,0,100,核心是生活场景中的功能释放，副属性是家庭承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1262,乘用车,industry,二级行业,乘用车,metal,fire,0,45,0,55,0,100,核心是系统成型、运动控制和规则配合，副属性是出行能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1033,电池,industry,二级行业,电池,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1030,电机Ⅱ,industry,二级行业,电机Ⅱ,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0428,电力,industry,二级行业,电力,fire,earth,0,65,35,0,0,100,核心是能量释放和供应显化，副属性是基础设施承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1229,地面兵装Ⅱ,industry,二级行业,地面兵装Ⅱ,metal,fire,0,30,0,70,0,100,核心是安全边界、控制和威慑规则，副属性是爆发释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1219,电视广播Ⅱ,industry,二级行业,电视广播Ⅱ,fire,water,0,70,0,0,30,100,核心是内容表达、传播和注意力显化，副属性是信息流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1254,动物保健Ⅱ,industry,二级行业,动物保健Ⅱ,wood,water,65,0,0,0,35,100,核心是生命修复、培育和健康生长，副属性是孕育、储藏和适应。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0457,电网设备,industry,二级行业,电网设备,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0738,多元金融,industry,二级行业,多元金融,metal,water,0,0,0,60,40,100,核心是金融规则、风险边界和定价控制，副属性是资金流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1039,电子化学品Ⅱ,industry,二级行业,电子化学品Ⅱ,fire,earth,0,60,40,0,0,100,核心是转化、反应和释放，副属性是承接加工和稳定供给。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1279,非白酒,industry,二级行业,非白酒,fire,earth,0,60,40,0,0,100,核心是场景消费和情绪释放，副属性是大众消费承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1045,房地产服务,industry,二级行业,房地产服务,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0451,房地产开发,industry,二级行业,房地产开发,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1032,风电设备,industry,二级行业,风电设备,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1020,非金属材料Ⅱ,industry,二级行业,非金属材料Ⅱ,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1246,房屋建设Ⅱ,industry,二级行业,房屋建设Ⅱ,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1225,服装家纺,industry,二级行业,服装家纺,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1224,纺织制造,industry,二级行业,纺织制造,fire,wood,40,60,0,0,0,100,核心是外在形象表达和显化，副属性是消费升级生长。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0739,工程机械,industry,二级行业,工程机械,metal,fire,0,40,0,60,0,100,核心是规则化控制、成型和执行边界，副属性是驱动能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0726,工程咨询服务Ⅱ,industry,二级行业,工程咨询服务Ⅱ,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1031,光伏设备,industry,二级行业,光伏设备,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1220,广告营销,industry,二级行业,广告营销,fire,water,0,70,0,0,30,100,核心是表达、传播和注意力显化，副属性是内容流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1251,个护用品,industry,二级行业,个护用品,fire,wood,40,60,0,0,0,100,核心是外在形象表达和显化，副属性是消费升级生长。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0732,贵金属,industry,二级行业,贵金属,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1236,轨交设备Ⅱ,industry,二级行业,轨交设备Ⅱ,metal,fire,0,40,0,60,0,100,核心是规则化控制、成型和执行边界，副属性是驱动能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1038,光学光电子,industry,二级行业,光学光电子,fire,metal,0,65,0,35,0,100,核心是信息处理、显示和能量显化，副属性是精密规则成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1287,工业金属,industry,二级行业,工业金属,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1234,环保设备Ⅱ,industry,二级行业,环保设备Ⅱ,earth,water,0,0,65,0,35,100,核心是承接修复和系统调和，副属性是回收、流动和净化。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1230,航海装备Ⅱ,industry,二级行业,航海装备Ⅱ,metal,fire,0,40,0,60,0,100,核心是规则化控制、成型和执行边界，副属性是驱动能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1235,环境治理,industry,二级行业,环境治理,earth,water,0,0,65,0,35,100,核心是承接修复和系统调和，副属性是回收、流动和净化。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0420,航空机场,industry,二级行业,航空机场,metal,fire,0,35,0,65,0,100,核心是安全边界、规则控制和高端系统成型，副属性是爆发释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1231,航空装备Ⅱ,industry,二级行业,航空装备Ⅱ,metal,fire,0,35,0,65,0,100,核心是安全边界、规则控制和高端系统成型，副属性是爆发释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1268,互联网电商,industry,二级行业,互联网电商,water,metal,0,0,0,40,60,100,核心是信息、资金或身份的流动适配，副属性是规则确权。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1241,黑色家电,industry,二级行业,黑色家电,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1232,航天装备Ⅱ,industry,二级行业,航天装备Ⅱ,metal,fire,0,35,0,65,0,100,核心是安全边界、规则控制和高端系统成型，副属性是爆发释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0471,化学纤维,industry,二级行业,化学纤维,fire,earth,0,60,40,0,0,100,核心是转化、反应和释放，副属性是承接加工和稳定供给。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1019,化学原料,industry,二级行业,化学原料,fire,earth,0,60,40,0,0,100,核心是转化、反应和释放，副属性是承接加工和稳定供给。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0538,化学制品,industry,二级行业,化学制品,fire,earth,0,60,40,0,0,100,核心是转化、反应和释放，副属性是承接加工和稳定供给。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0465,化学制药,industry,二级行业,化学制药,fire,earth,0,60,40,0,0,100,核心是转化、反应和释放，副属性是承接加工和稳定供给。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0450,航运港口,industry,二级行业,航运港口,water,earth,0,0,35,0,65,100,核心是人流、物流和要素流动，副属性是基础设施承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1252,化妆品,industry,二级行业,化妆品,fire,wood,40,60,0,0,0,100,核心是外在形象表达和显化，副属性是消费升级生长。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1238,IT服务Ⅱ,industry,二级行业,IT服务Ⅱ,earth,water,0,0,60,0,40,100,核心是平台服务承载和稳定运行，副属性是数据与用户流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1247,基础建设,industry,二级行业,基础建设,earth,metal,0,0,65,35,0,100,核心是基础设施承载和建设转化，副属性是结构成型与规则管控。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1271,酒店餐饮,industry,二级行业,酒店餐饮,fire,earth,0,60,40,0,0,100,核心是体验释放和消费显化，副属性是服务承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1242,家电零部件Ⅱ,industry,二级行业,家电零部件Ⅱ,fire,earth,0,60,40,0,0,100,核心是生活场景中的功能释放，副属性是家庭承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1233,军工电子Ⅱ,industry,二级行业,军工电子Ⅱ,metal,fire,0,35,0,65,0,100,核心是安全边界、规则控制和高端系统成型，副属性是爆发释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0440,家居用品,industry,二级行业,家居用品,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0735,计算机设备,industry,二级行业,计算机设备,metal,fire,0,40,0,60,0,100,核心是硬件系统成型和规则控制，副属性是信息处理能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1288,金属新材料,industry,二级行业,金属新材料,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1249,焦炭Ⅱ,industry,二级行业,焦炭Ⅱ,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0740,教育,industry,二级行业,教育,wood,earth,70,0,30,0,0,100,核心是培养、生长和能力提升，副属性是体系承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1274,炼化及贸易,industry,二级行业,炼化及贸易,water,fire,0,40,0,0,60,100,核心是商品、订单和渠道流动，副属性是消费显化和传播。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1255,林业Ⅱ,industry,二级行业,林业Ⅱ,wood,earth,60,0,40,0,0,100,核心是生命供给、生长和消费培育，副属性是滋养承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1272,旅游及景区,industry,二级行业,旅游及景区,fire,earth,0,60,40,0,0,100,核心是体验释放和消费显化，副属性是服务承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1269,旅游零售Ⅱ,industry,二级行业,旅游零售Ⅱ,water,fire,0,40,0,0,60,100,核心是商品、订单和渠道流动，副属性是消费显化和传播。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1263,摩托车及其他,industry,二级行业,摩托车及其他,metal,fire,0,45,0,55,0,100,核心是系统成型、运动控制和规则配合，副属性是出行能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1250,煤炭开采,industry,二级行业,煤炭开采,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0484,贸易Ⅱ,industry,二级行业,贸易Ⅱ,water,fire,0,40,0,0,60,100,核心是商品、订单和渠道流动，副属性是消费显化和传播。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1256,农产品加工,industry,二级行业,农产品加工,wood,earth,60,0,40,0,0,100,核心是生命供给、生长和消费培育，副属性是滋养承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0731,农化制品,industry,二级行业,农化制品,wood,earth,60,0,40,0,0,100,核心是农业生长和供给培育，副属性是土地承载与投入品转化。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1015,能源金属,industry,二级行业,能源金属,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1257,农业综合Ⅱ,industry,二级行业,农业综合Ⅱ,earth,water,0,0,55,0,45,100,板块范围较综合，核心按承载调和处理，副属性按适应流动处理。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1226,普钢,industry,二级行业,普钢,metal,earth,0,0,30,70,0,100,核心是资源控制、定价边界和成型规则，副属性是资源承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1016,汽车服务,industry,二级行业,汽车服务,earth,water,0,0,60,0,40,100,核心是服务承接、调和和稳定供给，副属性是需求流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0481,汽车零部件,industry,二级行业,汽车零部件,metal,fire,0,45,0,55,0,100,核心是系统成型、运动控制和规则配合，副属性是出行能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1034,其他电源设备Ⅱ,industry,二级行业,其他电源设备Ⅱ,fire,water,0,60,0,0,40,100,核心是能源释放、驱动和显化，副属性是储藏、调度或流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1223,其他电子Ⅱ,industry,二级行业,其他电子Ⅱ,earth,water,0,0,55,0,45,100,板块范围较综合，核心按承载调和处理，副属性按适应流动处理。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1243,其他家电Ⅱ,industry,二级行业,其他家电Ⅱ,fire,earth,0,60,40,0,0,100,核心是生活场景中的功能释放，副属性是家庭承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0737,软件开发,industry,二级行业,软件开发,wood,metal,60,0,0,40,0,100,核心是系统迭代和生态扩展，副属性是规则架构。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1028,燃气Ⅱ,industry,二级行业,燃气Ⅱ,fire,water,0,60,0,0,40,100,核心是能源释放与服务转化，副属性是资源储藏和流动。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0454,塑料,industry,二级行业,塑料,fire,earth,0,60,40,0,0,100,核心是转化、反应和释放，副属性是承接加工和稳定供给。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1258,饲料,industry,二级行业,饲料,wood,earth,60,0,40,0,0,100,核心是生命供给、生长和消费培育，副属性是滋养承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0424,水泥,industry,二级行业,水泥,earth,metal,0,0,65,35,0,100,核心是空间承载、稳定和建设转化，副属性是结构成型。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK0734,饰品,industry,二级行业,饰品,fire,wood,40,60,0,0,0,100,核心是外在形象表达和显化，副属性是消费升级生长。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1280,食品加工,industry,二级行业,食品加工,wood,earth,60,0,40,0,0,100,核心是生命供给、生长和消费培育，副属性是滋养承载。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1044,生物制品,industry,二级行业,生物制品,wood,water,65,0,0,0,35,100,核心是生命修复、培育和健康生长，副属性是孕育、储藏和适应。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
BK1264,商用车,industry,二级行业,商用车,metal,fire,0,45,0,55,0,100,核心是系统成型、运动控制和规则配合，副属性是出行能量释放。,true,eastmoney_board_catalog_wuxing_annotated_20260701.xlsx,2026-07-01T12:07:52,false
